canonical,variant,type
Otis Spunkmeyer,otis spunkmeyer,typography
Boone Hospital Center,boone hospital center,typography
Bain & Company,BainCompany,punctuation
Fortescue Metals Group,FortescueMetalsGroup,punctuation
Recruit Holdings,RecruitHoldings,punctuation
Henderson Land Development,henderson land development,typography
GF Securities,GFSecurities,punctuation
Cheniere Energy,CHENIERE ENERGY,typography
Empereon-Constar,EMPEREON-CONSTAR,typography
SVB Financial Group,SVB Financial,brand_parent
Spectrum Health,spectrum health,typography
JogoBonito Soccers,JogoBonito,partial
China National Petroleum Corporation,China National Petroleum,legal_suffix
China Reinsurance Group,china reinsurance group,typography
People's Insurance,people's insurance,typography
NetApp,netapp,typography
SDIC.com.cn,SDIC com,brand_parent
Licking Memorial Health Systems,LICKING MEMORIAL HEALTH SYSTEMS,typography
JPMorgan Chase & Co.,JPMorgan,partial
BAE Systems,BAESystems,punctuation
Investor AB,investor ab,typography
Northrop Grumman,NORTHROP GRUMMAN,typography
SailPoint Technologies Holdings,SAILPOINT TECHNOLOGIES HOLDINGS,typography
INSURANCE AUSTRALIA GROUP,INSURANCE AUSTRALIA,brand_parent
Amgen,Amgen,punctuation
Mitchell International,mitchell international,typography
Cheniere Energy,Cheniere,partial
Cigna Life Insurance New Zealand,CIGNA LIFE INSURANCE NEW ZEALAND,typography
National Australia Bank Limited ABN,National Australia Bank Limited,brand_parent
Bayer,bayer,typography
Honeywell International,Honeywell,partial
Raymond James Financial,RaymondJamesFinancial,punctuation
Lendmark Financial Services,LENDMARK FINANCIAL SERVICES,typography
PJSC TATNEFT,PJSC TATNEFT,typography
Intel Corporation Company,Intel,legal_suffix
China Yangtze Power,China Yangtze,brand_parent
Banco Bradesco,banco bradesco,typography
Suncorp Group,Suncorp Group,legal_suffix
VMware,VMWARE,typography
Bell City Auto Center,bell city auto center,typography
AEGON Life Insurance,AEGON LIFE INSURANCE,typography
Raiffeisen Bank International,Raiffeisen Bank,brand_parent
Shoppers Drug Mart,shoppers drug mart,typography
CarGurus,CARGURUS,typography
The Siam Commercial Bank,TSCB,abbreviation
SENTEXT SOLUTIONS,SENTEXTSOLUTIONS,punctuation
First United Bank,First United,brand_parent
eBay,EBAY,typography
Bank of East Asia,BankofEastAsia,punctuation
Wells Fargo,WF,abbreviation
EssilorLuxottica,EssilorLuxottica,punctuation
Tealium,Tealium,punctuation
Magic Leap,magic leap,typography
Cardinal Health,CardinalHealth,punctuation
Solvay,SOLVAY,typography
WEST JAPAN RAILWAY,WEST JAPAN RAILWAY,typography
Terumo Corporation,Terumo,legal_suffix
American Tire Distributors ,American Tire,brand_parent
Mitsubishi UFJ Financial Group,MITSUBISHI UFJ FINANCIAL GROUP,typography
Regions Bank,RegionsBank,punctuation
TechKNOWvatioN,TechKNOWvatioN,punctuation
CFLD,CFLD,punctuation
MTR Foods,MTRFoods,punctuation
BHP,BHP,punctuation
TOYOTA MOTOR,TOYOTA,partial
psbc.com,psbc.com,legal_suffix
Iberdrola,iberdrola,typography
Armor Lite Trailers,Armor Lite,brand_parent
NEC Corporation,NEC CORPORATION,typography
Teachers Insurance and Annuity Association of America-College Retirement Equities Fund,teachers insurance and annuity association of america-college retirement equities fund,typography
PUBLICIS GROUPE,publicis groupe,typography
Vertex Pharmaceuticals,VertexPharmaceuticals,punctuation
Waterite,waterite,typography
VakifBank,vakifbank,typography
Ultra-Grip International,ULTRA-GRIP INTERNATIONAL,typography
TDK Corporation,tdk corporation,typography
Corey Auto Wreckers,Corey Auto,brand_parent
Mondi,mondi,typography
Liberty Global,LibertyGlobal,punctuation
Eiffage,Eiffage,punctuation
Flint Community Bank,Flint Community Bank,legal_suffix
Japan Airlines,JAPAN AIRLINES,typography
EDP Energias de Portugal,EDP,partial
CONCHO RESOURCES,CONCHO RESOURCES,legal_suffix
Kotak Mahindra Bank,Kotak Mahindra,brand_parent
AvalonBay,avalonbay,typography
Bank of Nanjing,bank of nanjing,typography
Western Digital,WesternDigital,punctuation
Bank Negara Indonesia,BankNegaraIndonesia,punctuation
Mitsui Fudosan,mitsui fudosan,typography
CarMax Business Services,CarMax Business,brand_parent
Exxon Mobil Corporation,Exxon,partial
South32,south32,typography
Phoebe Putney Health System,PPHS,abbreviation
Xilinx,Xilinx,punctuation
Aryzta,Aryzta,punctuation
Office Depot,OD,abbreviation
Intact Financial Corporation,Intact Financial,legal_suffix
PKN ORLEN,PKN ORLEN,typography
Grant Thornton,GRANT THORNTON,typography
J.M. Smucker,j.m. smucker,typography
Northwell Health,northwell health,typography
China Petrochemical Corporation,China Petrochemical,legal_suffix
Broadview Networks,BROADVIEW NETWORKS,typography
Ahold Delhaize,AHOLD DELHAIZE,typography
Carrefour,CARREFOUR,typography
The Northwestern Mutual Life Insurance Company,the northwestern mutual life insurance company,typography
Phoenix Group Holdings,PHOENIX GROUP HOLDINGS,typography
Zurn Industries,zurn industries,typography
SDIC.com.cn,SDICcomcn,punctuation
Alegion,Alegion,punctuation
SEGA Europe,sega europe,typography
E.SUN,E.SUN,typography
Naturgy,NATURGY,typography
Deluxe Entertainment,DELUXE ENTERTAINMENT,typography
Mediterranean Bank Network,MediterraneanBankNetwork,punctuation
Geotab,GEOTAB,typography
Norsk Hydro,norsk hydro,typography
WEICHAI POWER,weichai power,typography
The Siam Commercial Bank Public Company,The Siam Commercial Bank Public,legal_suffix
Samsung SDI,SAMSUNG SDI,typography
South32,South32,punctuation
China Southern Airlines,CHINA SOUTHERN AIRLINES,typography
Boston Scientific,BOSTON SCIENTIFIC,typography
Banco Bilbao Vizcaya Argentaria,BancoBilbaoVizcayaArgentaria,punctuation
Adobe,adobe,typography
Principal Financial Services,Principal Financial Services,legal_suffix
Northrop Grumman,NorthropGrumman,punctuation
Stellar Development Foundation,StellarDevelopmentFoundation,punctuation
Tift Regional Medical Center,Tift,partial
ChinaSteel,ChinaSteel,punctuation
Vivendi,vivendi,typography
KnowBe4,KNOWBE4,typography
Sharp Corporation,SharpCorporation,punctuation
Yelp,yelp,typography
Anhui Conch Cement,anhui conch cement,typography
Paris Kitchens,ParisKitchens,punctuation
Truist Financial,Truist,partial
HollyFrontier Corporation,HOLLYFRONTIER CORPORATION,typography
TTEC,TTEC,punctuation
Merck & Co,MERCK & CO,typography
EN+ GROUP,en+ group,typography
Laboratory Corporation of America Holdings,LCoAH,abbreviation
First Republic Bank,FIRST REPUBLIC BANK,typography
Origin Energy,origin energy,typography
Bangkok Bank,BANGKOK BANK,typography
Idemitsu Kosan,Idemitsu,partial
WEICHAI POWER,WEICHAI POWER,typography
SUMITOMO METAL MINING,SUMITOMO,partial
Illinois Tool Works,IllinoisToolWorks,punctuation
Carlsberg Breweries,CarlsbergBreweries,punctuation
wasp It labs,WASP IT LABS,typography
WEC Energy Group,WEG,abbreviation
Truist Financial,TruistFinancial,punctuation
China CITIC Bank International,ChinaCITICBankInternational,punctuation
Moody's Investors Service,moody's investors service,typography
Canadian National Railway,Canadian,partial
Hankyu Hanshin Holdings,HankyuHanshinHoldings,punctuation
SVB Financial Group,SVB,partial
Nacogdoches Memorial Health,NACOGDOCHES MEMORIAL HEALTH,typography
Amazon,amazon,typography
Convoy Supply,CONVOY SUPPLY,typography
SEGA Europe,SEGA,partial
The Siam Commercial Bank Public Company,TSCBPC,abbreviation
Innotec,innotec,typography
Norwegian Cruise Line Holdings,NCLH,abbreviation
Norsk Hydro,NorskHydro,punctuation
Marathon Oil,marathon oil,typography
Sika,Sika,punctuation
Raymond James Financial,RJF,abbreviation
Braskem,braskem,typography
EDP Energias de Portugal,EDP Energias de,brand_parent
International Paper,InternationalPaper,punctuation
Cenovus Energy,CenovusEnergy,punctuation
Amazon.com,Amazon.com,legal_suffix
Suncorp Group,suncorp group,typography
Amphenol Corporation,Amphenol,legal_suffix
Coca-Cola European Partners,Coca Cola European,brand_parent
Static Control Components,STATIC CONTROL COMPONENTS,typography
ANA,ana,typography
Intercontinental Exchange,Intercontinental Exchange,legal_suffix
Daiichi Sankyo,Daiichi,partial
Banco Bradesco,Banco Bradesco,legal_suffix
Pernod Ricard,Pernod,partial
GTJA Securities,gtja securities,typography
Italia Salami,italia salami,typography
Pendo,Pendo,punctuation
Macy's,MACY'S,typography
Wells Fargo,WELLS FARGO,typography
Clorox,CLOROX,typography
Green Shield Canada,GREEN SHIELD CANADA,typography
Access Spectrum,ACCESS SPECTRUM,typography
Key Corp,Key,legal_suffix
Magic Leap,MagicLeap,punctuation
Rosseti,rosseti,typography
DAIKIN INDUSTRIES,DAIKIN,partial
Lakeside Foods,LakesideFoods,punctuation
NEXT GEAR SOLUTIONS,NEXTGEARSOLUTIONS,punctuation
Orange,Orange,punctuation
Shell,Shell,punctuation
Tata Consultancy Services,TATA CONSULTANCY SERVICES,typography
FAMILY DOLLAR STORES,FAMILYDOLLARSTORES,punctuation
The PNC Financial Services Group,ThePNCFinancialServicesGroup,punctuation
Northrop Grumman,Northrop,partial
Talanx,talanx,typography
Schumacher Financial,schumacher financial,typography
BorgWarner,BORGWARNER,typography
Freudenberg Sealing Technologies,FreudenbergSealingTechnologies,punctuation
D.R. Horton,d.r. horton,typography
CJ Corporation,CJ CORPORATION,typography
SENTEXT SOLUTIONS,SENTEXT SOLUTIONS,typography
MITSUBISHI MOTORS CORPORATION,mitsubishi motors corporation,typography
ADCB,adcb,typography
Cogne Acciai Speciali,CogneAcciaiSpeciali,punctuation
Agilent Technologies,Agilent,partial
Shanghai Pharmaceutical Group,ShanghaiPharmaceuticalGroup,punctuation
Keller Williams Realty,keller williams realty,typography
HollyFrontier Corporation,HollyFrontier,legal_suffix
S&P Global Market Intelligence,SPGMI,abbreviation
Chevron,CHEVRON,typography
Madinah Translation,Madinah,partial
Banorte Financial,BanorteFinancial,punctuation
Al Rajhi Bank,AlRajhiBank,punctuation
Procter & Gamble,P&G,abbreviation
China National Petroleum Corporation,ChinaNationalPetroleumCorporation,punctuation
Parasoft,PARASOFT,typography
Shimao Property Holdings,SPH,abbreviation
Raiffeisen Bank International,RAIFFEISEN BANK INTERNATIONAL,typography
Origin Energy,OriginEnergy,punctuation
SoftBank,softbank,typography
Honda Motor,Honda,partial
CHINA JINMAO HOLDINGS GROUP,china jinmao holdings group,typography
KEPCO THE KANSAI ELECTRIC POWER,KEPCO THE KANSAI ELECTRIC POWER,legal_suffix
Nielsen Norman Group,NIELSEN NORMAN GROUP,typography
Helvetia Group,HELVETIA GROUP,typography
UPM,upm,typography
Las Vegas Sands,LAS VEGAS SANDS,typography
Baptist Emergency Hospital,baptist emergency hospital,typography
Rio Tinto,rio tinto,typography
Atlassian,Atlassian,punctuation
Leon's,Leon's,punctuation
Alkermes,alkermes,typography
China Merchants Shekou Industrial Zone,ChinaMerchantsShekouIndustrialZone,punctuation
BNP Paribas Mutual Fund,BNPParibasMutualFund,punctuation
Mediobanca Banca di Credito Finanziario,MEDIOBANCA BANCA DI CREDITO FINANZIARIO,typography
Bank of East Asia,BoEA,abbreviation
Vodafone Group,VodafoneGroup,punctuation
VALEO,valeo,typography
Macatawa Bank,Macatawa,partial
Shin-Etsu Chemical,shin-etsu chemical,typography
George Weston,GEORGE WESTON,typography
Sikorski,sikorski,typography
Nacogdoches Memorial Health,Nacogdoches Memorial Health,legal_suffix
Ryanair DAC,ryanair dac,typography
Dimensional Fund Advisors,dimensional fund advisors,typography
Apple,apple,typography
Ping An Insurance (Group) Company of China,ping an insurance (group) company of china,typography
ProQuest,proquest,typography
Secure Store,secure store,typography
Townsend Lumber,Townsend,partial
L3Harris Technologies,L3HARRIS TECHNOLOGIES,typography
Roberts Trucking,ROBERTS TRUCKING,typography
ADVANCED INFO SERVICE,ADVANCEDINFOSERVICE,punctuation
Gazprom,gazprom,typography
CNBM,cnbm,typography
HSBC Group,HSBC GROUP,typography
Accord Business Consulting,Accord,partial
TH Medical,th medical,typography
Massachusetts Mutual Life Insurance Company (MassMutual),MassachusettsMutualLifeInsuranceCompany(MassMutual),punctuation
Zijin Mining Group,zijin mining group,typography
Wells Fargo,Wells,partial
COASTAL STATES BANK,COASTALSTATESBANK,punctuation
Agilent Technologies,agilent technologies,typography
Shearer's Foods,Shearer,partial
Genesis HealthCare,GenesisHealthCare,punctuation
HEIDELBERGCEMENT,HEIDELBERGCEMENT,punctuation
Suning Tesco Group,SuningTescoGroup,punctuation
"ACS, Activities of Construction and Services","acs, activities of construction and services",typography
Kuehne+Nagel,Kuehne,partial
Suning Tesco Group,Suning,partial
BLUEGRACE,bluegrace,typography
WEC Energy Group,WEC ENERGY GROUP,typography
Keller Williams Realty,KELLER WILLIAMS REALTY,typography
Lincare Holdings,lincare holdings,typography
ASAHI GROUP HOLDINGS,ASAHI GROUP,brand_parent
Vaco,VACO,typography
PKO Bank Polski,PKO,partial
Subaru of America,SoA,abbreviation
World Interpreting,WORLD INTERPRETING,typography
Charles Schwab & Co.,charles schwab & co.,typography
FREEDOM AUTO,FREEDOM,partial
PVH Corp,PC,abbreviation
Zimmer Biomet,ZimmerBiomet,punctuation
Farm Credit West,farm credit west,typography
THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK,brand_parent
Hong Kong Exchanges and Clearing,hong kong exchanges and clearing,typography
CVS Health,cvs health,typography
Power Corporation of Canada,POWER CORPORATION OF CANADA,typography
China International Marine Containers Group,CIMCG,abbreviation
Alza.cz,ALZA.CZ,typography
Las Vegas Sands,las vegas sands,typography
ISCISTECH Business Solutions,iscistech business solutions,typography
SAMSUNG FIRE & MARINE INSURANCE,samsung fire & marine insurance,typography
Canadian National Railway,canadian national railway,typography
Xilinx,XILINX,typography
Tata Consultancy Services,Tata Consultancy Services,legal_suffix
Wilson N. Jones Regional Medical Center,WNJRMC,abbreviation
Sumitomo Realty & Development,Sumitomo,partial
Bank of the West,BANK OF THE WEST,typography
Nippon Telegraph and Telephone,NIPPON TELEGRAPH AND TELEPHONE,typography
CREDIT SUISSE GROUP,CREDIT SUISSE GROUP,typography
Lynch Consultants,LYNCH CONSULTANTS,typography
Ultra-Grip International,UGI,abbreviation
Cisco Systems,Cisco,partial
Top Frontier,TOP FRONTIER,typography
Concise Systems,CONCISE SYSTEMS,typography
Nutrafarms,Nutrafarms,punctuation
Bank Central Asia,BANK CENTRAL ASIA,typography
EDP Energias de Portugal,edp energias de portugal,typography
J/E Bearing and Machine,J E Bearing and,brand_parent
ChampionX,CHAMPIONX,typography
Quanta Computer,QUANTA COMPUTER,typography
SAIC,saic,typography
TORAY INDUSTRIES,TORAY INDUSTRIES,typography
Uber Technologies,UberTechnologies,punctuation
Bank Mandiri,BANK MANDIRI,typography
Google,GOOGLE,typography
Amicus Enterprises,amicus enterprises,typography
EnBW Energie Baden-Württemberg,EnBWEnergieBaden-Württemberg,punctuation
Centrica,centrica,typography
Ageas,ageas,typography
Douglas Elliman Real Estate,douglas elliman real estate,typography
Uber Technologies,Uber,partial
Svenska Handelsbanken,SVENSKA HANDELSBANKEN,typography
Brighthouse Financial,brighthouse financial,typography
Keurig Green Mountain,KeurigGreenMountain,punctuation
Krug,krug,typography
Kingston Hospital NHS Foundation Trust,KingstonHospitalNHSFoundationTrust,punctuation
Severstal,severstal,typography
CAVENDER'S OUT OF STATE STORES LTD,cavender's out of state stores ltd,typography
FREEDOM AUTO,FREEDOM AUTO,typography
Bank of Montreal,BANK OF MONTREAL,typography
Takeda Pharmaceutical Company,TAKEDA PHARMACEUTICAL COMPANY,typography
Compass Group,COMPASS GROUP,typography
Kotak Mahindra Bank,kotak mahindra bank,typography
Madinah Translation,madinah translation,typography
First Data,FirstData,punctuation
Sojitz Corporation,SOJITZ CORPORATION,typography
Snam,SNAM,typography
PepsiCo,PEPSICO,typography
Xiaomi,Xiaomi,punctuation
PJSC TATNEFT,pjsc tatneft,typography
Weyerhaeuser,Weyerhaeuser,punctuation
Saudi Electricity Company,Saudi Electricity,legal_suffix
Lynch Consultants,LynchConsultants,punctuation
CVS Health,CVSHealth,punctuation
NEC Corporation,nec corporation,typography
GKN Sinter Metals Engineering,GSME,abbreviation
Lumileds Holding,LumiledsHolding,punctuation
Purolator,PUROLATOR,typography
Yum! Brands,yum! brands,typography
Sumitomo Mitsui Trust,Sumitomo Mitsui,brand_parent
Prologis,Prologis,punctuation
First State Bank,FirstStateBank,punctuation
Idemitsu Kosan,IDEMITSU KOSAN,typography
East Penn Manufacturing,East Penn,brand_parent
Infineon Technologies,InfineonTechnologies,punctuation
Consolidated Edison Company of New York,CONSOLIDATED EDISON COMPANY OF NEW YORK,typography
Arab National Bank,Arab,partial
Qurate Retail,Qurate,partial
Costco Wholesale,Costco Wholesale,legal_suffix
Sabre,Sabre,punctuation
NATIONAL BANK OF CANADA,NATIONALBANKOFCANADA,punctuation
Metropolitan Bank and Trust,METROPOLITAN BANK AND TRUST,typography
Vestas,vestas,typography
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,PARAMOUNT RESIDENTIAL MORTGAGE GROUP,typography
Guangzhou Rural Commercial Bank,Guangzhou Rural Commercial,brand_parent
TORAY INDUSTRIES,TORAYINDUSTRIES,punctuation
Beijing Enterprises Holdings,beijing enterprises holdings,typography
OMV,omv,typography
Huansheng Ecommerce,Huansheng,partial
Recruit Holdings,RECRUIT HOLDINGS,typography
Sumitomo Mitsui Trust,Sumitomo,partial
Baylor Scott & White Health,baylor scott & white health,typography
Chubu Electric Power,Chubu,partial
Kerry,Kerry,punctuation
Nintendo,Nintendo,punctuation
PwC,PWC,typography
Dufresne Furniture & Appliances,dufresne furniture & appliances,typography
Wilson N. Jones Regional Medical Center,wilson n. jones regional medical center,typography
Banco de Sabadell,BdS,abbreviation
CHINA MINSHENG BANK,CHINA MINSHENG,brand_parent
Keurig Dr Pepper,Keurig Dr,brand_parent
KOREA GAS CORPORATION,korea gas corporation,typography
BANK OF HANGZHOU,bank of hangzhou,typography
Teva Pharmaceutical Industries,teva pharmaceutical industries,typography
Biogen,Biogen,punctuation
Surplus Furniture and Mattress Warehouse,SURPLUS FURNITURE AND MATTRESS WAREHOUSE,typography
Nutrafarms,nutrafarms,typography
Kantar,KANTAR,typography
Listrak,LISTRAK,typography
Yorkshire Bank,YorkshireBank,punctuation
SM Investments Corporation,SMInvestmentsCorporation,punctuation
Grande Cheese,GRANDE CHEESE,typography
T.F. Warren Group,T F Warren,brand_parent
Expedia,Expedia,punctuation
FedEx,fedex,typography
Hewlett Packard Enterprise,Hewlett Packard,brand_parent
KEPCO,kepco,typography
Lakeside Foods,LAKESIDE FOODS,typography
IQVIA ,iqvia ,typography
Svenska Handelsbanken,Svenska,partial
Baxter,Baxter,punctuation
Abbott,ABBOTT,typography
Baylor Scott & White Health,Baylor Scott White,brand_parent
Royal Bank of Scotland,royal bank of scotland,typography
Bank Central Asia,bank central asia,typography
Modern Broker,ModernBroker,punctuation
Access Spectrum,AccessSpectrum,punctuation
Lowe's,Lowe's,punctuation
Lendmark Financial Services,lendmark financial services,typography
Walgreen,walgreen,typography
COX ENTERPRISES,COXENTERPRISES,punctuation
Clorox,Clorox,punctuation
Douglas Elliman Real Estate,Douglas Elliman Real,brand_parent
The Siam Commercial Bank,The Siam Commercial,brand_parent
Accenture,ACCENTURE,typography
ViacomCBS,viacomcbs,typography
Latitude Group,latitude group,typography
Johnson & Johnson Services,JJS,abbreviation
Shanghai Electric Power,Shanghai Electric,brand_parent
Formosa Petrochemical,FORMOSA PETROCHEMICAL,typography
NTT DATA,NTTDATA,punctuation
SK TELECOM,SK,partial
Truphone Limited,TruphoneLimited,punctuation
London Stock Exchange,london stock exchange,typography
Nexient,nexient,typography
Mega Holdings,Mega,partial
JULIUS BAER,julius baer,typography
Deere and Company,DEERE AND COMPANY,typography
Banorte Financial,Banorte,partial
LG Chem,LG,partial
AGL Energy,AGL ENERGY,typography
Illumina,Illumina,punctuation
Elkay Manufacturing,ElkayManufacturing,punctuation
DTE Energy,DTEEnergy,punctuation
Pfizer,PFIZER,typography
CME Group,CMEGroup,punctuation
True North Energy,True North,brand_parent
Applied Materials,Applied,partial
Baker Hughes Company,BakerHughesCompany,punctuation
Banco de Sabadell,Banco de Sabadell,legal_suffix
J Sainsbury,J SAINSBURY,typography
IndusInd Bank,indusind bank,typography
Shoppers Drug Mart,Shoppers Drug,brand_parent
Sumitomo Mitsui Banking,sumitomo mitsui banking,typography
Exxon Mobil,EXXON MOBIL,typography
Jingdong JD.com,jingdong jd.com,typography
Willis Towers Watson,WillisTowersWatson,punctuation
AXA,axa,typography
Breeze Dried,breeze dried,typography
MTN Group Management Services,MTN GROUP MANAGEMENT SERVICES,typography
Nordstrom,NORDSTROM,typography
GlaxoSmithKline,GlaxoSmithKline,punctuation
Northwest,NORTHWEST,typography
Citizens Financial Group,Citizens Financial,brand_parent
psbc.com,PSBC.COM,typography
Geotab,Geotab,punctuation
Mitsui Fudosan,MITSUI FUDOSAN,typography
PPG Industries,PPG,partial
KUWAIT FINANCE HOUSE,KUWAIT FINANCE HOUSE,typography
American Financial Group,american financial group,typography
Caliber Home Loans,CaliberHomeLoans,punctuation
Aluminum Corp,Aluminum,legal_suffix
Deloitte Touche Tohmatsu,Deloitte,partial
Discovery,Discovery,punctuation
Oracle,ORACLE,typography
Alaska Airlines,alaska airlines,typography
SHANGHAI INTERNATIONAL GROUP,shanghai international group,typography
MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS,legal_suffix
IBK (Industrial Bank of Korea),IBK,partial
Commercial National Bank,CommercialNationalBank,punctuation
Advocate Health Care,Advocate Health,brand_parent
Leon's,leon's,typography
Koninklijke Philips,KoninklijkePhilips,punctuation
Moody's Investors Service,Moody'sInvestorsService,punctuation
Truck-Lite,TRUCK-LITE,typography
EN+ GROUP,EN+ GROUP,typography
Bain & Company,BAIN & COMPANY,typography
Barrick Gold Corporation,Barrick,partial
Yuanta Financial Holding,YUANTA FINANCIAL HOLDING,typography
Gazprom,GAZPROM,typography
Royal Bank of Canada,ROYAL BANK OF CANADA,typography
Infineon Technologies,Infineon,partial
McKesson,McKesson,punctuation
U Pack,u pack,typography
General Electric,general electric,typography
TDK Corporation,TDKCorporation,punctuation
Abbott,abbott,typography
First Financial Bankshares,first financial bankshares,typography
Medtronic,medtronic,typography
Air Products & Chemicals,APC,abbreviation
MGM Resorts International,MGM Resorts,brand_parent
Infosys,Infosys,punctuation
International Paper,INTERNATIONAL PAPER,typography
Nucor,nucor,typography
Kaiser Foundation Health Plan,KaiserFoundationHealthPlan,punctuation
Capital Group,capital group,typography
GEOVERT,geovert,typography
Arkema,Arkema,punctuation
FUJIFILM Holdings,FUJIFILM HOLDINGS,typography
Pfizer,Pfizer,punctuation
Hanwha Group,Hanwha,partial
Enel,enel,typography
Procore Technologies,procore technologies,typography
Dubai Islamic Bank,DubaiIslamicBank,punctuation
Canadian National Railway,CanadianNationalRailway,punctuation
Hess Corporation,HESS CORPORATION,typography
Samba Financial Group,Samba,partial
JogoBonito Soccers,jogobonito soccers,typography
Sharp Corporation,Sharp,legal_suffix
Adobe,Adobe,punctuation
Farm Credit West,FarmCreditWest,punctuation
KAJIMA CORPORATION,KAJIMA CORPORATION,typography
SVB Financial Group,SVBFinancialGroup,punctuation
Bank of Ireland,BankofIreland,punctuation
KURI TEC,KURI TEC,typography
East West Bank,EAST WEST BANK,typography
Walgreen,Walgreen,punctuation
Royal Bank of Scotland,RBoS,abbreviation
Southern Bancorp,SOUTHERN BANCORP,typography
Kelly Services,kelly services,typography
CHINA MINSHENG BANK,china minsheng bank,typography
Truck-Lite,Truck-Lite,punctuation
Banner Health,BANNER HEALTH,typography
MTN Group Management Services,MTN Group Management,brand_parent
Wanhua Chemical Group,wanhua chemical group,typography
Lendmark Financial Services,Lendmark,partial
KEYENCE CORPORATION,KEYENCECORPORATION,punctuation
Textron,textron,typography
Citizens First Bank,CITIZENS FIRST BANK,typography
Swedbank,SWEDBANK,typography
Hennepin Healthcare,HennepinHealthcare,punctuation
Advantage Software,advantage software,typography
Bank of Ireland,bank of ireland,typography
Stanley Black & Decker,SBD,abbreviation
Procore Technologies,Procore Technologies,legal_suffix
AICHI STEEL,AICHI STEEL,typography
Fiat Chrysler Automobiles,fiat chrysler automobiles,typography
Forrester Research,forrester research,typography
Bank of Ningbo,bank of ningbo,typography
Samba Financial Group,SAMBA FINANCIAL GROUP,typography
Krungthai Bank,KB,abbreviation
Royal Caribbean International,Royal Caribbean,brand_parent
Sumitomo Heavy Industries,SumitomoHeavyIndustries,punctuation
Meiji Holdings,Meiji,partial
BMW,BMW,punctuation
Shionogi,shionogi,typography
Severstal,Severstal,punctuation
FUNAI ELECTRIC,FUNAI,partial
Tigercat International,tigercat international,typography
Dow,dow,typography
ChampionX,championx,typography
Douglas Elliman Real Estate,DOUGLAS ELLIMAN REAL ESTATE,typography
Compuware,compuware,typography
Zippo Manufacturing,Zippo,partial
Power Construction Corporation of China,POWER CONSTRUCTION CORPORATION OF CHINA,typography
Crown Castle,CrownCastle,punctuation
Telkom Indonesia,Telkom,partial
NEC Corporation,NEC,legal_suffix
Roberts Trucking,RobertsTrucking,punctuation
Corey Auto Wreckers,CoreyAutoWreckers,punctuation
OZCARE,OZCARE,punctuation
Amcor,AMCOR,typography
SABB,sabb,typography
RSF GROUP,RSF GROUP,typography
Rio Tinto,RT,abbreviation
United Rotary Brush,UNITED ROTARY BRUSH,typography
J.F. Shea,JFS,abbreviation
Capital Group,CAPITAL GROUP,typography
ZTE Corporation,zte corporation,typography
Michelin,Michelin,punctuation
TransDigm Group,TRANSDIGM GROUP,typography
CHINA JINMAO HOLDINGS GROUP,CHINA JINMAO HOLDINGS,brand_parent
Windstream Communications,windstream communications,typography
China Tower Corporation,ChinaTowerCorporation,punctuation
Barrick Gold Corporation,BarrickGoldCorporation,punctuation
Mitsubishi Electric,mitsubishi electric,typography
Lake View Credit Union,LAKE VIEW CREDIT UNION,typography
Tokyo Century Corporation,Tokyo Century,legal_suffix
Sky Bird Travel & Tours,SKY BIRD TRAVEL & TOURS,typography
RSM US,rsm us,typography
CIMB GROUP HOLDINGS,cimb group holdings,typography
Porsche Automobil Holding,porsche automobil holding,typography
Principal Financial Services,principal financial services,typography
SAMSUNG FIRE & MARINE INSURANCE,SAMSUNG,partial
Intuvo,intuvo,typography
Rockwell Automation,Rockwell,partial
Gallagher,Gallagher,punctuation
Schneider,Schneider,punctuation
SLN Group,SLN GROUP,typography
Henderson Land Development,HENDERSON LAND DEVELOPMENT,typography
Kirin Holdings,kirin holdings,typography
Carrefour,Carrefour,punctuation
Hilton,hilton,typography
InterContinental Hotels Group,INTERCONTINENTAL HOTELS GROUP,typography
Dell Technologies,Dell,partial
Groupe ADP,Groupe,partial
PARKER HANNIFIN,PARKERHANNIFIN,punctuation
Innovative Client Connections,Innovative Client Connections,legal_suffix
Listrak,Listrak,punctuation
Brookfield Asset Managemen,brookfield asset managemen,typography
Monroe Hospital,monroe hospital,typography
Advocate Health Care,advocate health care,typography
ONE Sotheby's International Realty,ONE Sotheby s International,brand_parent
Royal Bank of Canada,royal bank of canada,typography
Dana,dana,typography
TechnipFMC,TechnipFMC,punctuation
Stanley Black & Decker,STANLEY BLACK & DECKER,typography
Horizon Therapeutics,horizon therapeutics,typography
Foshan Haitian flavouring & Food,FOSHAN HAITIAN FLAVOURING & FOOD,typography
Mediterranean Bank Network,Mediterranean Bank,brand_parent
DXC Technology,dxc technology,typography
China Mengniu Dairy,China Mengniu,brand_parent
Mondi,MONDI,typography
WOORI FINANCIAL GROUP,woori financial group,typography
MOHAWK INDUSTRIES,MOHAWK,partial
University of Missouri,UNIVERSITY OF MISSOURI,typography
TE Connectivity,TE CONNECTIVITY,typography
The Kraft Heinz Company,The Kraft Heinz,legal_suffix
a.s.r,A.S.R,typography
Air Products & Chemicals,AirProductsChemicals,punctuation
VLCC,VLCC,punctuation
