canonical,variant,type
LG Household & Health Care,LG HOUSEHOLD & HEALTH CARE,typography
NCB,ncb,typography
SM Investments Corporation,SM,partial
China National Pharmaceutical Group,china national pharmaceutical group,typography
Laboratory Corporation of America Holdings,LABORATORY CORPORATION OF AMERICA HOLDINGS,typography
Lanyon Solutions,LanyonSolutions,punctuation
Fortive,fortive,typography
Unitedhealth Group,uhg,abbreviation
Attijariwafa Bank,AttijariwafaBank,punctuation
Hon Hai Precision,HON HAI PRECISION,typography
Saint-Gobain,Saint,partial
AmerisourceBergen,amerisourcebergen,typography
Tokio Marine Holdings,TOKIO MARINE HOLDINGS,typography
The Hartford,TheHartford,punctuation
Capgemini,CAPGEMINI,typography
Telecom Italia Sparkle,Telecom Italia,brand_parent
Porsche Automobil Holding,Porsche Automobil,brand_parent
Stellar Development Foundation,STELLAR DEVELOPMENT FOUNDATION,typography
Amphenol Corporation,AmphenolCorporation,punctuation
Norwegian Cruise Line Holdings,NorwegianCruiseLineHoldings,punctuation
Sky Bird Travel & Tours,SkyBirdTravelTours,punctuation
First Financial Bankshares,FirstFinancialBankshares,punctuation
BANK OF CHINA(BOC),BANK OF CHINA,brand_parent
WEST JAPAN RAILWAY,WESTJAPANRAILWAY,punctuation
Fiat Chrysler Automobiles,FIAT CHRYSLER AUTOMOBILES,typography
Riyad Bank,RIYAD BANK,typography
AlphaKOR Group,AlphaKORGroup,punctuation
DuPont,dupont,typography
Commercial National Bank,COMMERCIAL NATIONAL BANK,typography
AVACAS ICT Advisory Services,AVACAS ICT ADVISORY SERVICES,typography
Expedia,expedia,typography
Evergrande Group,EvergrandeGroup,punctuation
Hindalco Industries,HINDALCO INDUSTRIES,typography
MGM Resorts International,MGM,partial
Petrobras,petrobras,typography
Bharat Petroleum,BHARAT PETROLEUM,typography
AARC,aarc,typography
KUBOTA,kubota,typography
General Mills,GM,abbreviation
Bankinter,BANKINTER,typography
Commerzbank,commerzbank,typography
BAIC Motor Corporation,BAIC MOTOR CORPORATION,typography
Forrester Research,ForresterResearch,punctuation
Arconic,ARCONIC,typography
Boston Consulting Group,BOSTON CONSULTING GROUP,typography
Citizens Financial Group,CITIZENS FINANCIAL GROUP,typography
Ebates Performance Marketing,Ebates Performance,brand_parent
Bloomington Meadows Hospital,BLOOMINGTON MEADOWS HOSPITAL,typography
Isuzu Motors,isuzu motors,typography
Kelly Services,Kelly,partial
The Regents of the University of California,TRotUoC,abbreviation
Mitsubishi UFJ Financial Group,mitsubishi ufj financial group,typography
AT&T,at&t,typography
Jiangxi Copper Corporation,jiangxi copper corporation,typography
Paris Kitchens,paris kitchens,typography
China International Capital Corporation,CHINA INTERNATIONAL CAPITAL CORPORATION,typography
Japan Exchange Group,Japan Exchange,brand_parent
Donaldson Company,DONALDSON COMPANY,typography
Allman Electric,Allman,partial
Lowe's,lowe's,typography
AVACAS ICT Advisory Services,AVACASICTAdvisoryServices,punctuation
Inter Rao,Inter,partial
Daiwa Securities Group,daiwa securities group,typography
Alkermes,ALKERMES,typography
Helvetia Group,HelvetiaGroup,punctuation
Grupo Aval,GRUPO AVAL,typography
Bharat Petroleum,BP,abbreviation
Emerson Electric,emerson electric,typography
UBI Banca,UBI,partial
Steel Dynamics,SteelDynamics,punctuation
Diamondback Energy,DiamondbackEnergy,punctuation
PETRONAS Chemicals Group,PETRONAS CHEMICALS GROUP,typography
Sojitz Corporation,sojitz corporation,typography
Punjab National Bank,Punjab,partial
Samsung SDI,samsung sdi,typography
Willis Towers Watson,WILLIS TOWERS WATSON,typography
Asahi Kasei,AsahiKasei,punctuation
The Coca-Cola Company,The Coca-Cola,legal_suffix
Granite Telecommunications,GRANITE TELECOMMUNICATIONS,typography
T. Rowe Price,T. ROWE PRICE,typography
Seagate Technology,SeagateTechnology,punctuation
Thermo Fisher Scientific,THERMO FISHER SCIENTIFIC,typography
Amazon,AMAZON,typography
Devon Energy,devon energy,typography
China Merchants Shekou Industrial Zone,china merchants shekou industrial zone,typography
PVH Corp,PVH CORP,typography
Rockland Trust,RocklandTrust,punctuation
ZTE Corporation,ZTE CORPORATION,typography
Procore Technologies,Procore,partial
Restaurant Brands International,RestaurantBrandsInternational,punctuation
DP World,DPWorld,punctuation
Attijariwafa Bank,Attijariwafa,partial
Deutsche Telekom,DEUTSCHE TELEKOM,typography
Charoen Pokphand Foods,Charoen Pokphand,brand_parent
Thales Group,Thales,partial
Regeneron Pharmaceuticals,Regeneron,partial
Donnelley Financial Solutions,donnelley financial solutions,typography
Anheuser-Busch InBev,ANHEUSER-BUSCH INBEV,typography
SIMON PROPERTY GROUP,simon property group,typography
Stellar Development Foundation,SDF,abbreviation
Bharat Petroleum,BharatPetroleum,punctuation
Credit Agricole,CREDIT AGRICOLE,typography
Plumas Bank,PlumasBank,punctuation
UBS,ubs,typography
Legend Holdings Corporation,Legend,partial
"ACS, Activities of Construction and Services",ACSActivitiesofConstructionandServices,punctuation
Astellas Pharma,ASTELLAS PHARMA,typography
CNA Insurance,CNAInsurance,punctuation
The TJX Companies,the tjx companies,typography
Delta Regional Medical Center,Delta Regional Medical,brand_parent
CLARION SINTERED METALS,clarion sintered metals,typography
Intercontinental Exchange,intercontinental exchange,typography
Advanced Bank of Asia,advanced bank of asia,typography
Advanced Bank of Asia,AdvancedBankofAsia,punctuation
KEPCO THE KANSAI ELECTRIC POWER,KEPCO,partial
Charles Schwab & Co.,Charles Schwab,brand_parent
Phoenix Group Holdings,phoenix group holdings,typography
Rogers Communications,rogers communications,typography
LEADBETTERS MEATS,LEADBETTERSMEATS,punctuation
NATIONAL BANK OF CANADA,national bank of canada,typography
Capgemini,capgemini,typography
Beijing Enterprises Holdings,Beijing Enterprises,brand_parent
Reading Crane & Engineering,Reading Crane,brand_parent
Thermo Fisher Scientific,Thermo Fisher,brand_parent
Rockwell Automation,RockwellAutomation,punctuation
Molson Coors Beverage,MOLSON COORS BEVERAGE,typography
Boston Scientific,boston scientific,typography
SHIMIZU CORPORATION,SHIMIZUCORPORATION,punctuation
Shimao Property Holdings,shimao property holdings,typography
MITSUBISHI MOTORS CORPORATION,MITSUBISHI,partial
IQVIA ,IQVIA,punctuation
eBay,ebay,typography
Tata Motors,Tata,partial
Qualcomm Technologies,QualcommTechnologies,punctuation
China Yangtze Power,china yangtze power,typography
Conestoga Meat Packers,Conestoga Meat,brand_parent
Norfolk Southern,NORFOLK SOUTHERN,typography
OBAYASHI CORPORATION,obayashi corporation,typography
BNP Paribas,bnp paribas,typography
Rolls-Royce,ROLLS-ROYCE,typography
Vienna Insurance Group,Vienna Insurance,brand_parent
Citizens Financial Group,CitizensFinancialGroup,punctuation
Kweichow Moutai,KweichowMoutai,punctuation
FAMILY DOLLAR STORES,FAMILY DOLLAR,brand_parent
Bain & Company,bain & company,typography
Universal Health Services,UNIVERSAL HEALTH SERVICES,typography
Legend Holdings Corporation,legend holdings corporation,typography
Naeem Electronics,naeem electronics,typography
Absa Group,ABSA GROUP,typography
Phillips 66,Phillips,partial
CJ CHEILJEDANG CORP,cj cheiljedang corp,typography
AISIN SEIKI,AISIN,partial
Mahindra & Mahindra,mahindra & mahindra,typography
Allergan,allergan,typography
INDUSTRIAL BANK,INDUSTRIAL,partial
Horizon Therapeutics,HorizonTherapeutics,punctuation
SLN Group,SLNGroup,punctuation
Fosun International,FOSUN INTERNATIONAL,typography
ADS Alliance Data Systems,ADSAllianceDataSystems,punctuation
Absa Group,absa group,typography
IBK (Industrial Bank of Korea),ibk (industrial bank of korea),typography
American Water,AmericanWater,punctuation
Mega Holdings,MEGA HOLDINGS,typography
Banco do Brasil,BANCO DO BRASIL,typography
NewAgeSys Solutions,NewAgeSys,partial
Fannie Mae,FANNIE MAE,typography
Intact Financial Corporation,IntactFinancialCorporation,punctuation
AIA Group,aia group,typography
Kuehne+Nagel,KN,abbreviation
Truist Financial,truist financial,typography
Netflix,NETFLIX,typography
Intergen,intergen,typography
Power Construction Corporation of China,PowerConstructionCorporationofChina,punctuation
Serial System,SERIAL SYSTEM,typography
Advantage Solutions,AS,abbreviation
Cambodian National Insurance,cambodian national insurance,typography
The Northwestern Mutual Life Insurance Company,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,typography
Deutsche Telekom,deutsche telekom,typography
Comerica Bank,COMERICA BANK,typography
Newmont Corporation,Newmont,legal_suffix
East Penn Manufacturing,EAST PENN MANUFACTURING,typography
Goldman Sachs,GoldmanSachs,punctuation
Norsk Hydro,Norsk,partial
Lowe's,LOWE'S,typography
CIMB GROUP HOLDINGS,CIMBGROUPHOLDINGS,punctuation
SASOL,sasol,typography
NTPC,ntpc,typography
Roper Technologies,ROPER TECHNOLOGIES,typography
First State Bank,FIRST STATE BANK,typography
Wilson N. Jones Regional Medical Center,Wilson N Jones Regional Medical,brand_parent
CLARION SINTERED METALS,CLARION,partial
American International Group,AIG,abbreviation
Flint Community Bank,FlintCommunityBank,punctuation
Attijariwafa Bank,attijariwafa bank,typography
Givaudan,GIVAUDAN,typography
INDUSTRIAL BANK,INDUSTRIALBANK,punctuation
Bank Of Jiangsu,BANK OF JIANGSU,typography
Western Alliance Bancorporation,Western Alliance,brand_parent
Bank Central Asia,BCA,abbreviation
WellCare Health Plans,WHP,abbreviation
Molina Healthcare,molina healthcare,typography
Swire Pacific,SWIRE PACIFIC,typography
SK Hynix,SK,partial
Neato Employment Services,NeatoEmploymentServices,punctuation
PJSC MMC Norilsk Nickel,pjsc mmc norilsk nickel,typography
Choice Hotels International,CHOICE HOTELS INTERNATIONAL,typography
Halliburton,halliburton,typography
Shearer's Foods,Shearer s,brand_parent
Centene,centene,typography
Arch Capital Group,ARCH CAPITAL GROUP,typography
Laboratory Corporation of America Holdings,laboratory corporation of america holdings,typography
BMO Financial Group,bmo financial group,typography
Tesla,TESLA,typography
State Street,StateStreet,punctuation
The Ritz-Carlton Hotel Company,TRCHC,abbreviation
Quest Diagnostics,QuestDiagnostics,punctuation
NICE inContact,NICEinContact,punctuation
Loews,loews,typography
JPMorgan Chase & Co.,JPMorganChaseCo,punctuation
ZipRecruiter,ZIPRECRUITER,typography
Salesforce.com,Salesforce,partial
Hyundai Steel,Hyundai,partial
China Mengniu Dairy,china mengniu dairy,typography
Dongfeng Motor Group,DONGFENG MOTOR GROUP,typography
PTT Public Company Limited,PTTPublicCompanyLimited,punctuation
Jabil,JABIL,typography
Galaxy Entertainment Group,Galaxy,partial
Daines Insurance and Financial Services,Daines Insurance and Financial,brand_parent
Jingdong JD.com,JINGDONG JD.COM,typography
Cresittel BEAUTY,CRESITTEL BEAUTY,typography
TD Bank,TDBank,punctuation
Ross Stores,ross stores,typography
First State Bank,first state bank,typography
China Construction Bank,China Construction,brand_parent
Nedbank,NEDBANK,typography
Thai Beverage,THAI BEVERAGE,typography
Marriott International,marriott international,typography
Corning,CORNING,typography
Mitsui Fudosan,Mitsui,partial
Bloomington Meadows Hospital,Bloomington Meadows,brand_parent
Sumitomo Heavy Industries,sumitomo heavy industries,typography
Third Federal Savings & Loan,ThirdFederalSavingsLoan,punctuation
The Sherwin-Williams Company,The Sherwin Williams,brand_parent
Investor AB,INVESTOR AB,typography
Baylor Scott & White Health,BaylorScottWhiteHealth,punctuation
BANK OF CHINA(BOC),BOC,abbreviation
Goodyear Tire & Rubber,goodyear tire & rubber,typography
Reading Crane & Engineering,reading crane & engineering,typography
Vita Group,VitaGroup,punctuation
C.H. Robinson Worldwide,C H Robinson,brand_parent
SM Investments Corporation,SM INVESTMENTS CORPORATION,typography
China Huarong Asset Management,CHINA HUARONG ASSET MANAGEMENT,typography
Wanhua Chemical Group,WANHUA CHEMICAL GROUP,typography
Best Buy,best buy,typography
Metro Cast Network,MetroCastNetwork,punctuation
Public Storage,PUBLIC STORAGE,typography
Approved Cash,APPROVED CASH,typography
The Ritz-Carlton Hotel Company,TheRitz-CarltonHotelCompany,punctuation
Vistra Corp,vistra corp,typography
Cardinal Health,CARDINAL HEALTH,typography
M&T Bank,MTB,abbreviation
Bank of Jinzhou,BankofJinzhou,punctuation
KhmerDev,KHMERDEV,typography
RSM US,RSM,partial
Metropolitan Bank and Trust,metropolitan bank and trust,typography
Boston Properties,boston properties,typography
Investors Bank,Investors,partial
Teva Pharmaceutical Industries,Teva,partial
Schlumberger,schlumberger,typography
Licking Memorial Health Systems,Licking Memorial Health,brand_parent
Walgreens,WALGREENS,typography
Dongfeng Motor Group,Dongfeng,partial
Kobe Steel,Kobe,partial
Ahold Delhaize,ahold delhaize,typography
Voya Services,VOYA SERVICES,typography
ZipRecruiter,ziprecruiter,typography
GKN Sinter Metals Engineering,GKN Sinter Metals,brand_parent
Colgate-Palmolive,COLGATE-PALMOLIVE,typography
Yanzhou Coal Mining,yanzhou coal mining,typography
Bank of Melbourne,BANK OF MELBOURNE,typography
"CELGENE CORPORATION
A BRISTOL-MYERS SQUIBB COMPANY",CELGENE,partial
Mitsubishi Electric,MitsubishiElectric,punctuation
CNH Industrial,CNHIndustrial,punctuation
Walgreens Boots Alliance,walgreens boots alliance,typography
Brown Advisory,brown advisory,typography
J. Skinner Baking Company,J. Skinner Baking,legal_suffix
ViacomCBS,VIACOMCBS,typography
China Everbright Bank,ChinaEverbrightBank,punctuation
Charter Communications,CharterCommunications,punctuation
Eversource,EVERSOURCE,typography
Early Warning Services,Early Warning,brand_parent
Phoenix Group Holdings,PGH,abbreviation
PTT Public Company Limited,PTT,partial
General Motors,GeneralMotors,punctuation
Anheuser-Busch InBev,anheuser-busch inbev,typography
Aon,AON,typography
Southern Bancorp,SouthernBancorp,punctuation
Recreational Equipment,Recreational,partial
TOYOTA INDUSTRIES,toyota industries,typography
Public Storage,public storage,typography
Mitsubishi Electric,MITSUBISHI ELECTRIC,typography
American Iron & Metal,American Iron,brand_parent
Banco Bradesco,BANCO BRADESCO,typography
Chunghwa Telecom,ChunghwaTelecom,punctuation
MTR Foods,mtr foods,typography
Ross Stores,ROSS STORES,typography
Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya,brand_parent
AdKarma,adkarma,typography
Freudenberg Sealing Technologies,Freudenberg Sealing,brand_parent
PETRONAS Chemicals Group,PETRONASChemicalsGroup,punctuation
Best Buy,BEST BUY,typography
Lloyds Banking Group,lloyds banking group,typography
China Eastern Airlines,China Eastern,brand_parent
PULTEGROUP,pultegroup,typography
Kao,KAO,typography
Baxter,baxter,typography
KYOCERA Corporation,kyocera corporation,typography
V-Soft Consulting,v-soft consulting,typography
Knorr-Bremse,KNORR-BREMSE,typography
Kaiser Foundation Health Plan,kaiser foundation health plan,typography
T.F. Warren Group,TFWarrenGroup,punctuation
Advocate Health Care,ADVOCATE HEALTH CARE,typography
Procore Technologies,ProcoreTechnologies,punctuation
CJ CHEILJEDANG CORP,CJCHEILJEDANGCORP,punctuation
Dimensional Fund Advisors,Dimensional Fund,brand_parent
Novo Nordisk,NovoNordisk,punctuation
Bankinter,bankinter,typography
ASSICURAZIONI GENERALI,ASSICURAZIONI,partial
Truck-Lite,truck-lite,typography
Charoen Pokphand Foods,CHAROEN POKPHAND FOODS,typography
Westpac Banking,WestpacBanking,punctuation
Gemdale Properties andInvestment Corporation,Gemdale Properties andInvestment,legal_suffix
Societe Generale,SocGen,abbreviation
Chevron,chevron,typography
China National Pharmaceutical Group,ChinaNationalPharmaceuticalGroup,punctuation
Myanmars Net Software,MyanmarsNetSoftware,punctuation
Mediacom Communications,MediacomCommunications,punctuation
American Financial Group,AMERICAN FINANCIAL GROUP,typography
Japan Exchange Group,japan exchange group,typography
Republic Finance,RepublicFinance,punctuation
Vita Group,VG,abbreviation
Axis Bank,AxisBank,punctuation
NetEase,NETEASE,typography
Tyler Technologies,tyler technologies,typography
Cogne Acciai Speciali,Cogne Acciai,brand_parent
Beijing Enterprises Holdings,BeijingEnterprisesHoldings,punctuation
BAE Systems,BAE,partial
Hawthorn Bank,hawthorn bank,typography
BrightStar Care,BrightStar,partial
Mediobanca Banca di Credito Finanziario,Mediobanca Banca di Credito,brand_parent
Advocate Health Care,Advocate,partial
Thrivent,thrivent,typography
Aramark,ARAMARK,typography
Brown Advisory,Brown,partial
Conagra Brands,ConagraBrands,punctuation
National Machinery,national machinery,typography
China Gas Holdings,CHINA GAS HOLDINGS,typography
Unilever,unilever,typography
Modern Broker,MODERN BROKER,typography
Newmont Corporation,NEWMONT CORPORATION,typography
PGNiG,PGNIG,typography
SUNTORY BEVERAGE & FOOD,suntory beverage & food,typography
Deluxe Entertainment,Deluxe,partial
CACI International,caci international,typography
Grasim Industries,grasim industries,typography
Conestoga Meat Packers,CONESTOGA MEAT PACKERS,typography
ACCIONA,acciona,typography
TOKYU CORPORATION,tokyu corporation,typography
Healthcare with Heart,HwH,abbreviation
AutoZone,autozone,typography
China Pacific Insurance,China Pacific,brand_parent
WEST JAPAN RAILWAY,WEST,partial
Alza.cz,Alza,partial
Grupo Elektra,GRUPO ELEKTRA,typography
Turkish Airlines,TurkishAirlines,punctuation
Unitedhealth Group,unitedhealth group,typography
TOYOTA MOTOR,TOYOTAMOTOR,punctuation
Unum Group,unum group,typography
Lonza,lonza,typography
Mahindra & Mahindra,MahindraMahindra,punctuation
ELLWOOD National Forge,ELLWOODNationalForge,punctuation
HOYA Corporation,HOYA,legal_suffix
COASTAL STATES BANK,coastal states bank,typography
Home Depot Product Authority,HOME DEPOT PRODUCT AUTHORITY,typography
W.W. Grainger,W W,brand_parent
Social Coup,social coup,typography
The Coca-Cola Company,TheCoca-ColaCompany,punctuation
Nippon Telegraph and Telephone,nippon telegraph and telephone,typography
M&T Bank,MTBank,punctuation
WEICHAI POWER,WEICHAI,partial
Great Wall Motor,GWM,abbreviation
Molson Coors Beverage,MolsonCoorsBeverage,punctuation
Invision Technologies,INVISION TECHNOLOGIES,typography
Galp,galp,typography
Mars,MARS,typography
MOL GROUP,mol group,typography
Fleetwood Metal Industries,fleetwood metal industries,typography
Hanwha Group,hanwha group,typography
United States Steel,USS,abbreviation
NEMX Skilled Trades,NEMX SKILLED TRADES,typography
Booking Holdings,booking holdings,typography
Kirin Holdings,KIRIN HOLDINGS,typography
Xiaomi,xiaomi,typography
Reading Crane & Engineering,RCE,abbreviation
Massachusetts Mutual Life Insurance Company (MassMutual),Massachusetts Mutual Life Insurance  (MassMutual),legal_suffix
Inovata Foods,Inovata,partial
Huntington National Bank,HUNTINGTON NATIONAL BANK,typography
LPL Financial,LPL,partial
SARGENTO FOODS,sargento foods,typography
Johnson & Johnson Services,JohnsonJohnsonServices,punctuation
CACI International,CACI INTERNATIONAL,typography
Vertex Pharmaceuticals,Vertex,partial
Advocate Health Care,AdvocateHealthCare,punctuation
W. R. Berkley Corporation,W. R. BERKLEY CORPORATION,typography
InterContinental Hotels Group,IHG,abbreviation
Otis Spunkmeyer,OtisSpunkmeyer,punctuation
Deutsche Wohnen,deutsche wohnen,typography
American International Group,AmericanInternationalGroup,punctuation
TENAGA NASIONAL,tenaga nasional,typography
Sumitomo Heavy Industries,Sumitomo,partial
WEC Energy Group,wec energy group,typography
Suncrest Bank,SUNCREST BANK,typography
Wheelock and Company,WHEELOCK AND COMPANY,typography
Reliance Industries,reliance industries,typography
Grasim Industries,GRASIM INDUSTRIES,typography
Kindred Healthcare,kindred healthcare,typography
Boston Scientific,BostonScientific,punctuation
Charter Communications,CHARTER COMMUNICATIONS,typography
Surplus Furniture and Mattress Warehouse,SurplusFurnitureandMattressWarehouse,punctuation
Metroland Media Group,metroland media group,typography
Allianz Life Insurance Company,AllianzLifeInsuranceCompany,punctuation
Electronic Arts,electronic arts,typography
Sabre,sabre,typography
ENERSYS,enersys,typography
KONE,kone,typography
Freeport-McMoRan,Freeport,partial
Ping An Insurance (Group) Company of China,Ping An Insurance (Group)  of China,legal_suffix
Serial System,serial system,typography
Melrose Industries,MELROSE INDUSTRIES,typography
Johnson & Johnson Services,JOHNSON & JOHNSON SERVICES,typography
Rio Tinto,RIO TINTO,typography
Alegion,alegion,typography
Hyundai Steel,hyundai steel,typography
FSNB,fsnb,typography
Wight Consulting,WIGHT CONSULTING,typography
Concordia Financial Group,CONCORDIA FINANCIAL GROUP,typography
RSF GROUP,rsf group,typography
Novartis,NOVARTIS,typography
Sumitomo Realty & Development,SumitomoRealtyDevelopment,punctuation
Indorama Ventures,Indorama,partial
Hoosier Hills Credit Union,hoosier hills credit union,typography
NOMURA HOLDINGS,NOMURA,partial
Uni-President,UNI-PRESIDENT,typography
BNP Paribas Mutual Fund,BNP Paribas Mutual,brand_parent
PVH Corp,pvh corp,typography
Brighthouse Financial,Brighthouse,partial
Hamilton Beach Brands,Hamilton Beach,brand_parent
FAST RETAILING,FASTRETAILING,punctuation
Wayfair,wayfair,typography
FEMSA,femsa,typography
Coca-Cola European Partners,coca-cola european partners,typography
Windstream Communications,Windstream,partial
China Taiping Insurance,China Taiping,brand_parent
Teachers Insurance and Annuity Association of America-College Retirement Equities Fund,TIaAAoACREF,abbreviation
Symmetry Financial Group,Symmetry,partial
Cargill,CARGILL,typography
KLA Corporation,KLA,legal_suffix
Glencore,glencore,typography
China Petrochemical Corporation,china petrochemical corporation,typography
PARKER HANNIFIN,PARKER,partial
Phoenix Group Holdings,Phoenix Group,brand_parent
Aptiv,aptiv,typography
Brookfield Asset Managemen,BrookfieldAssetManagemen,punctuation
Alibaba.com,alibaba.com,typography
Analog Devices,Analog,partial
LG Electronics,LG ELECTRONICS,typography
Lynch Consultants,lynch consultants,typography
RELX Group,relx group,typography
Alinma Bank,AlinmaBank,punctuation
Sodexo,sodexo,typography
Innovative Client Connections,Innovative Client,brand_parent
Compass Group,compass group,typography
Sumitomo Electric,Sumitomo,partial
Gemdale Properties andInvestment Corporation,GEMDALE PROPERTIES ANDINVESTMENT CORPORATION,typography
Credicorp,credicorp,typography
Booking Holdings,BOOKING HOLDINGS,typography
SENTEXT SOLUTIONS,sentext solutions,typography
Deloitte Touche Tohmatsu,DELOITTE TOUCHE TOHMATSU,typography
Mahindra & Mahindra,Mahindra,partial
Hindalco Industries,hindalco industries,typography
Keller Williams Realty,KellerWilliamsRealty,punctuation
Ferguson Enterprises,FergusonEnterprises,punctuation
EnBW Energie Baden-Württemberg,EnBW Energie Baden W,brand_parent
Daiwa Securities Group,DaiwaSecuritiesGroup,punctuation
American International Group,AMERICAN INTERNATIONAL GROUP,typography
NT Financial Services,NT Financial,brand_parent
GKN Sinter Metals Engineering,GKN SINTER METALS ENGINEERING,typography
Kaiser Foundation Health Plan,Kaiser Foundation Health,brand_parent
Pioneer Natural Resources,Pioneer Natural,brand_parent
TTEC,ttec,typography
Cigna Life Insurance New Zealand,CignaLifeInsuranceNewZealand,punctuation
Sumitomo Realty & Development,SUMITOMO REALTY & DEVELOPMENT,typography
ConocoPhillips Company,ConocoPhillips,legal_suffix
Hewlett Packard Enterprise,hewlett packard enterprise,typography
Boston Consulting Group,BostonConsultingGroup,punctuation
SIMON PROPERTY GROUP,SIMONPROPERTYGROUP,punctuation
Western Alliance Bancorporation,WesternAllianceBancorporation,punctuation
ONE Sotheby's International Realty,ONESotheby'sInternationalRealty,punctuation
Sempra Energy,SempraEnergy,punctuation
AlphaKOR Group,AlphaKOR,partial
AISIN SEIKI,AISINSEIKI,punctuation
TAISEI CORPORATION,taisei corporation,typography
Swatch Group,SWATCH GROUP,typography
ArchCare,archcare,typography
Haier Group,haier group,typography
Expeditors International,expeditors international,typography
CJ CHEILJEDANG CORP,CJ CHEILJEDANG,legal_suffix
Truist Financial,TRUIST FINANCIAL,typography
Punjab National Bank,PunjabNationalBank,punctuation
Norfolk Southern,NorfolkSouthern,punctuation
Bayer,BAYER,typography
Celanese Corporation,Celanese,legal_suffix
Husky Energy,HuskyEnergy,punctuation
The Siam Commercial Bank,the siam commercial bank,typography
TransDigm Group,transdigm group,typography
Galaxy Entertainment Group,GALAXY ENTERTAINMENT GROUP,typography
Atlantia,atlantia,typography
TD Bank,TD BANK,typography
IBM,ibm,typography
Tata Motors,TataMotors,punctuation
New World Development Company,NewWorldDevelopmentCompany,punctuation
HSBC Group,HSBC,partial
Falabella Retail,FalabellaRetail,punctuation
PTT Public Company Limited,ptt public company limited,typography
Industrial Alliance Insurance and Financial Services,industrial alliance insurance and financial services,typography
EarthSoft,earthsoft,typography
CBS Interactive,CBS,partial
Akbank,AKBANK,typography
Cisco Systems,cisco systems,typography
W.W. Grainger,WWG,abbreviation
Booz Allen Hamilton,Booz Allen,brand_parent
SIMON PROPERTY GROUP,SPG,abbreviation
Invesco,INVESCO,typography
Wynn Resorts,wynn resorts,typography
Truphone Limited,Truphone,partial
Capital One,CAPITAL ONE,typography
Baloise Group,BaloiseGroup,punctuation
Belk,belk,typography
THE BANK OF NEW YORK MELLON,the bank of new york mellon,typography
Punjab National Bank,PUNJAB NATIONAL BANK,typography
The Northwestern Mutual Life Insurance Company,TheNorthwesternMutualLifeInsuranceCompany,punctuation
GTJA Securities,GTJA SECURITIES,typography
Adventist Health and Rideout,AHaR,abbreviation
Citizens National Bank,citizens national bank,typography
Freddie Mac,freddie mac,typography
AGRICULTURAL BANK OF CHINA (ABC),AGRICULTURAL,partial
Jeronimo Martins,Jeronimo,partial
Yara,YARA,typography
KDDI,kddi,typography
CK Asset Holdings,CK ASSET HOLDINGS,typography
Hengrui Therapeutics,HENGRUI THERAPEUTICS,typography
Armor Lite Trailers,armor lite trailers,typography
New York Community Bank,NEW YORK COMMUNITY BANK,typography
Kobe Steel,kobe steel,typography
Prologis,PROLOGIS,typography
Stellar Development Foundation,stellar development foundation,typography
Principal Financial Services,Principal Financial,brand_parent
Associated British Foods,AssociatedBritishFoods,punctuation
Phonographic Performance Limited,PhonographicPerformanceLimited,punctuation
Shanghai Pharmaceutical Group,SHANGHAI PHARMACEUTICAL GROUP,typography
WH Group,WHGroup,punctuation
HSBC Group,hsbc,typography
Ford Motor Company,FORD MOTOR COMPANY,typography
Allianz Life Insurance Company,ALLIANZ LIFE INSURANCE COMPANY,typography
Huansheng Ecommerce,HuanshengEcommerce,punctuation
STMicroelectronics,STMICROELECTRONICS,typography
TAISEI CORPORATION,TAISEI,legal_suffix
Old Mutual,OLD MUTUAL,typography
Constellation Brands,CONSTELLATION BRANDS,typography
Grasim Industries,GrasimIndustries,punctuation
Reliance Industries,Reliance,partial
Amadeus IT Group,Amadeus IT,brand_parent
Cresittel BEAUTY,cresittel beauty,typography
Groupe ADP,groupe adp,typography
Anheuser-Busch InBev,Anheuser,partial
E*TRADE Financial Corporation,E*TRADE FINANCIAL CORPORATION,typography
Tokyo Electron,tokyo electron,typography
Woodforest National Bank,WoodforestNationalBank,punctuation
Grupo Bancolombia,grupo bancolombia,typography
Shin-Etsu Chemical,Shin Etsu,brand_parent
National Australia Bank Limited ABN,NATIONAL AUSTRALIA BANK LIMITED ABN,typography
Daiwa Securities Group,DAIWA SECURITIES GROUP,typography
Atlassian,atlassian,typography
KEYENCE CORPORATION,keyence corporation,typography
Vita Group,vita group,typography
Exxon Mobil Corporation,ExxonMobilCorporation,punctuation
Sompo International,sompo international,typography
Shell,shell,typography
CLP Holdings,CLPHoldings,punctuation
CarGurus,cargurus,typography
RGA Reinsurance,rga reinsurance,typography
Schaeffler,schaeffler,typography
Michelin,MICHELIN,typography
AerCap,aercap,typography
Charter Communications,charter communications,typography
Vale,VALE,typography
Haier Group,HAIER GROUP,typography
Purolator,purolator,typography
Inter-American Development Bank,Inter-AmericanDevelopmentBank,punctuation
The Coca-Cola Company,the coca-cola company,typography
Indorama Ventures,IndoramaVentures,punctuation
AICHI STEEL,AICHISTEEL,punctuation
IndusInd Bank,IndusInd,partial
Pioneer Natural Resources,PioneerNaturalResources,punctuation
Emirates NBD Bank,Emirates,partial
Power Grid Corporation of India,POWER GRID CORPORATION OF INDIA,typography
